Keith grew 6 turnips . Alyssa grew 9 turnips . How many turnips did they grow in all ?  | ["15"]
Tim 's cat had kittens . He gave 3 to Jessica and 6 to Sara . He now has 9 kittens . How many kittens did he have to start with ?  | ["18"]
Sally grew 113 turnips and 118 pumpkins . Mary grew 129 turnips . How many turnips did they grow in total ?  | ["242"]
Keith has 20 books . Jason has 21 books . How many books do they have together ?  | ["41"]
Alyssa 's dog had puppies . She gave 7 to her friends . She now has 5 puppies . How many puppies did she have to start with ?  | ["12"]
Joan has 10 books . Tom has 38 books . How many books do they have together ?  | ["48"]
Fred had 7 dimes in his bank . His sister borrowed 3 of his dimes . How many dimes does Fred have now ?  | ["4"]
Tim has 44 books . Sam has 52 books . How many books do they have together ?  | ["96"]
Jason grew 23 watermelons and 18 turnips . Nancy grew 28 watermelons . How many watermelons did they grow in total ?  | ["51"]
Mary had 7 nickels in her bank . Her dad gave her 5 nickels . How many nickels does Mary have now ?  | ["12"]
Mary picked 122 oranges and Jason picked 105 oranges from the orange tree . How many oranges were picked in total ?  | ["227"]
A construction company bought 5.91 tons of gravel and 8.11 tons of sand . How many tons of material did the company buy in all ?  | ["14.02"]
There were 3 roses in the vase . Alyssa cut some roses from her flower garden . There are now 14 roses in the vase . How many roses did she cut ?  | ["11"]
There are 6 pencils and 7 rulers in the drawer . Benny placed 3 pencils in the drawer . How many pencils are now there in total ?  | ["9"]
Joan found 72 seashells and 12 starfishes on the beach . She gave Alyssa some of her seashells . She has 28 seashell . How many seashells did she give to Alyssa ?  | ["44"]
A restaurant made 9 hamburgers and 4 hot dogs to serve during lunch . Only 3 hamburgers were actually served . How many hamburgers were over ?  | ["6"]
Before the recent housing boom , there were 1426 houses in Lawrence County . Now , there are 2000 houses . How many houses did developers build during the housing boom ?  | ["574.0"]
There were 32 bales of hay in the barn and 26 bales in the shed . Jason stacked bales in the barn today . There are now 98 bales of hay in the barn . How many bales did he store in the barn ?  | ["66"]
A waitress put leftover tarts into the fridge on Thursday night . She noticed that the restaurant had 0.08333333333333333 tart filled with cherries , 0.75 tart filled with blueberries , and 0.08333333333333333 tart filled with peaches . How many leftover tarts did the restaurant have in all ?  | ["0.9166666666666666"]
Paco 's Countertop Company purchased pieces of marble from a quarry . The weights of the pieces they purchased were 0.3333333333333333 ton , 0.3333333333333333 ton , and 0.08333333333333333 ton . How many tons of marble did Paco 's Countertop Company purchase in all ?  | ["0.75"]
